algorithm,case,n,RMSE_w1,RMSE_w2,RMSE_μ1,RMSE_μ2,RMSE_σ1,RMSE_σ2,bias_w1,bias_w2,bias_μ1,bias_μ2,bias_σ1,bias_σ2,median_loglik
EM,1,30,9.446196785553164,9.446196785553164,20.8311710219349,38.16115121877905,14.535802694960093,18.483783473676375,-0.006020263819623617,0.006020263819623672,-0.01506321333922004,0.05476246870334581,-0.3893299931372102,0.5081287476001982,-33.19082656029732
EM,1,50,9.508411361117336,9.508411361117336,18.812889634137356,34.339172133800666,13.234163544923753,22.506389048653812,0.0007267219614186526,-0.0007267219614185971,0.020200209396241803,0.044760250866930626,-0.3479264169510192,0.6286590522036057,-56.845024152750256
EM,1,100,9.116875661233859,9.116875661233859,14.974428591212316,28.77820503114984,11.283694475341223,25.33045551748019,0.021449117818960084,-0.021449117818960084,0.0002643996247322658,-0.007167583674682969,-0.293977193217697,0.7388978925710241,-117.8855619572127
EM,1,150,9.888314926216482,9.888314926216482,15.884765414514032,24.840818267617387,10.378679942673282,26.825421334427652,-0.016911650067878647,0.016911650067878647,0.0014424712754324315,-0.014219533771162026,-0.2683270775045624,0.7984429898335826,-178.51668641054854
EM,1,200,9.761267023107594,9.761267023107594,15.153276765979053,25.013425640975747,10.110512791222428,27.875158709696777,-0.0027148517760107183,0.0027148517760107738,-0.005752543270403138,0.004628276398518696,-0.26719401284499145,0.8383425240645533,-239.27001936062675
EM,1,300,9.695717121166211,9.695717121166211,14.012315516349636,23.350337633860345,9.506269165047124,28.34635353810286,0.00844102714075079,-0.00844102714075079,0.0054183949687604096,-0.04918747883244582,-0.2520698767010541,0.8625286762512042,-358.6523709671974
EM,2,30,2.837757621167699,2.837757621167699,44.59136808576411,44.87253891976417,3.3114272431634952,3.186195710780937,0.007667859286237144,-0.0076678592862372,0.9931319454120376,-0.9936015197212443,-0.021912078798746182,-0.02438421297320792,-35.71650442846507
EM,2,50,2.3016016318536834,2.3016016318536834,43.995409846025105,43.966848501278065,2.411009443625085,2.4764768337486394,0.0033366682500534095,-0.0033366682500534095,0.9603604375253606,-0.9584291295829841,-0.015027249543433485,-0.015830932596915925,-60.97674570549172
EM,2,100,1.6927409541689988,1.6927409541689988,45.82286594006508,45.84007739012065,1.7614603432941656,1.7566998971775238,0.0049441851177811635,-0.004944185117781219,1.0479981172066877,-1.0464714220131828,-0.007111216641344842,-0.007004227071272018,-124.591534805349
EM,2,150,1.343604469203495,1.3436044692034947,46.26676215419071,46.30775727994748,1.427543093759967,1.406154330991405,0.0005461836372593343,-0.0005461836372593343,1.0709852992440598,-1.0729138172223789,-0.005603117190325024,-0.0024390704866427693,-188.04089011871116
EM,2,200,1.2308263917588513,1.2308263917588513,43.90325842293197,43.80071376225846,1.2621345122659404,1.2040825550194938,0.0012013028890438537,-0.0012013028890439092,0.961629997565285,-0.961687398690553,-0.004784729912041041,-0.0016499968359097172,-250.98575516989024
EM,2,300,0.9376295858743801,0.9376295858743802,44.06002277878034,44.085941539745974,0.9627063974072931,0.9872674437919828,0.00047531957647395373,-0.0004753195764738982,0.9693969151837385,-0.9717592552096737,-0.0016834449793818318,-0.002868685705982199,-378.4087773289803
