method,loglik,β₁₁,β₁₂,β₁₃,β₂₁,β₂₂,β₂₃,γ₀,γ₁,γ₂,γ₃,σ
DE,-68.89358256822672,2.615346671827535,0.33291376056315697,0.45296782670232927,-1.2092454022285317,-0.3355430669265497,-0.4626696162049696,3.691986585838717,-0.271781411596673,-0.9434959861612358,-0.4338711733425432,-0.4338711733425432
εDE,-69.46883392644638,2.5784892125934658,0.33086560412046917,0.4312785773410833,-1.1821720329455963,-0.3320622823860504,-0.45427529791593035,4.203964300359899,-0.7026267746716333,-1.3001021352433653,0.445017711779792,0.445017711779792
GA,-101.19246824079059,1.3014537290914834,0.44085429565476697,0.11931094190159586,0.5809290705688905,1.866814349481144,-3.9595783391048927,0.28052797289519027,2.7586874224099653,-4.58446329476689,-0.8922072177689144,-0.8922072177689144
PSO,-102.48900489276019,1.3010299956639813,0.4515569381527887,0.06946580239908921,4.198657086954422,-0.9524454034470248,-4.198657086954422,-10.0,-5.0,-5.0,-0.9489316832341159,-0.9489316832341159
WOA,-102.72786454086857,1.3010299956639813,0.46342890471616766,-0.03703137727205233,-4.198657086954422,-3.8694536661738343,-4.187853033139212,-3.132545725530208,-5.0,-0.00641754434667333,-0.9530843814509018,-0.9530843814509018
ECA,-172.98444002776708,3.2615294167539304,-0.29171561793089884,3.8912473333790123,-2.0148633502826163,-1.2952986126867794,-0.06155302175174704,8.161965422398836,1.6851011576126806,-3.9003373813534257,-1.5244207428430965,-1.5244207428430965
SA,-206.21678876264383,4.2451734058046515,-1.9784451476559894,0.7308440180688738,-1.3579065733313276,0.8911559092712329,-3.2098306577545985,-4.809371613947193,2.879595977142845,-0.0015262726033871132,3.745550252998001,3.745550252998001
