algorithm,case,n,RMSE_w1,RMSE_w2,RMSE_μ1,RMSE_μ2,RMSE_σ1,RMSE_σ2,bias_w1,bias_w2,bias_μ1,bias_μ2,bias_σ1,bias_σ2,median_loglik
DE,4,50,11.371090400422624,11.371090400422624,37.66676322837023,34.99626470271168,19.50348563563434,20.315265231875262,0.25781861901000935,-0.25781861901000935,0.8366055735248089,-0.6486761582617632,0.43577304977632353,-0.479346306657361,-62.41668327680541
DE,4,100,10.952390194710663,10.952390194710663,35.19988347298465,33.14727969034085,18.89998059517596,19.289889037831426,0.23386665876230273,-0.23386665876230261,0.7389650897186515,-0.6691180686888805,0.4042386245998493,-0.42389917295988655,-126.77972579754893
DE,4,150,11.151985220968085,11.151985220968083,35.43904077082568,33.6550438151763,19.551446350666616,19.790327573611687,0.24132789007568523,-0.24132789007568511,0.7717234302244729,-0.7097228233455942,0.4290705610822823,-0.4390600585445926,-192.45699380617924
DE,4,200,11.20867916600257,11.20867916600257,35.03566609419157,34.039191666416656,19.57053821341659,19.860572008393135,0.24594063581307712,-0.245940635813077,0.7637701057663546,-0.710594706530441,0.43238355185710314,-0.44369202462015755,-256.2159379108856
DE,4,300,11.508391433181622,11.508391433181622,35.57448291899238,35.149042125704085,20.209893923598933,20.333202095696862,0.2602182723224351,-0.26021827232243505,0.7979519959787866,-0.7489181762337126,0.45845371893656,-0.46489187626613815,-385.8470155309384
ECA,1,30,9.710564929317117,10.249615412427795,19.95913794521827,20.303110533250493,18.528379233899027,17.232102774992573,-0.15039235024716435,0.14997039480968222,-0.03904040311239103,0.01897002277626415,-0.5974784902267303,0.38984511919482434,-34.84546153066961
ECA,1,50,9.12529884128496,10.126355216998958,15.427911999387954,16.30584839012249,18.21719646109476,19.22534162107731,-0.16112285553619088,0.1606421015881746,-0.014291631345645445,-0.01038661646599822,-0.5781446278774407,0.4276958738117199,-57.41638201153985
ECA,1,100,8.823346203456337,10.004312369343241,14.246062992915732,13.897802901586928,17.83991691257861,19.841439831425287,-0.1748850888934757,0.1743835249182369,-0.015675990035308774,-0.016167349934716104,-0.5426291034677384,0.44212519961057006,-109.78719192544952
ECA,1,150,8.894429631190938,10.163677190845243,15.662463616703578,12.383423112172908,17.31066940381809,20.62659202848681,-0.17655079326736645,0.17614379366407268,0.0033614992384943918,0.013310937164770671,-0.5122599312523017,0.4604658288868161,-177.57610398909068
ECA,1,200,9.015113728654942,9.873620588350697,14.934839089334444,14.055677956629037,18.17717512284501,21.112800766216242,-0.16821260911233726,0.16799594723966865,0.010959242186727343,0.016561064381163466,-0.5528408854464264,0.4731009404496981,-228.92613089163672
ECA,1,300,8.712230163408263,9.898229930637722,16.53316704269732,13.663026549955143,16.49177378432305,21.89533575334641,-0.16832366918496527,0.16809676280273217,0.010662225113185155,0.017514615774971154,-0.48841833605364726,0.49100290498767096,-367.525360016234
ECA,2,30,7.026559474543761,7.0099511943935235,37.86778708724734,37.576445470880145,5.479523186183254,5.76738586788296,-0.003462582877834186,0.003134419446542247,0.9833601986882002,-0.9827017926873522,-0.07242006116963995,-0.051369799669651606,-40.89096354443352
ECA,2,50,6.738778920643293,6.968386508192657,39.015599828907774,38.463451747499676,5.535254182535437,5.686181851839081,-0.013125021862237685,0.012649730708567786,1.0464896386367677,-1.0212011710928908,-0.046134486578981726,-0.046539058944968736,-69.41265325440358
ECA,2,100,6.635578632101675,6.747456179931775,39.01174040728836,38.890308466732165,5.76588513734508,6.169506518487879,-0.0047817079719407185,0.00438698173251606,1.0099425627030596,-1.012234030033375,-0.038836594800935986,-0.03252562702398676,-136.00167500343045
ECA,2,150,6.785885546353261,6.816832268640421,37.874477981530056,37.457064753439006,6.029365342475865,5.705865140149101,-0.0016804647912572745,0.00139266380477443,0.9586243123438358,-0.9701201137848907,-0.025849937791758093,-0.02425658213394588,-201.85204405988395
ECA,2,200,6.838787670101652,6.981543848364037,37.24709402159366,36.597670981303075,5.9937560854795775,6.270711721092241,-0.00734818785665553,0.00679589966411942,0.9938960414118807,-0.9961013453706067,-0.04214369089410891,-0.0242563014098629,-304.3116948952106
ECA,2,300,7.023096777249592,7.223117651171842,36.131815441080825,37.72238701738262,6.243383814023631,6.7097942472352194,-0.008299820400290037,0.007708075345943199,0.9645197999852045,-1.004273884536151,-0.03435145245200272,-0.026584285345173653,-468.491965235207
ECA,3,30,10.769127038675308,12.187596317431444,30.088748223423618,39.806443419966,17.291612787163402,15.422696323960121,-0.26036449900131636,0.2600495791935076,0.287636086954968,-1.1889359653557359,-0.5533365497445665,0.32537358257019255,-43.21769074970331
ECA,3,50,10.806728649511472,11.885731367056486,29.802383821251905,36.5870369461815,17.174858618666278,17.230640355416188,-0.24364244773663446,0.24332795992702216,0.36505185344658175,-1.1324837859953618,-0.5307715137833869,0.3715326730051654,-74.14710728378518
ECA,3,100,10.765476276878196,12.213616695642772,29.314358703696882,35.23163709205237,16.87445735231424,17.850249617847403,-0.2498317656209017,0.2493140371425202,0.3708370833934708,-1.084909381415279,-0.5120325866075072,0.37697573814125523,-146.25837520352889
ECA,3,150,10.84780887249384,12.137278842073744,29.26339851305666,32.77760116919048,16.100213296531738,18.456827716024343,-0.2470656873792192,0.24671018773013892,0.3909280573804096,-1.064857443567775,-0.483048374054621,0.3884747915359455,-225.24717651885396
ECA,3,200,11.061334776777954,12.454684955865622,29.48085965355661,34.80920144611174,16.7859620503174,19.132808701760965,-0.25412390666342427,0.25379545077081345,0.39503983950148525,-1.1436018981325549,-0.5067823767450399,0.4077292549483506,-313.9980143543875
ECA,3,300,10.848726853147147,12.282152172505523,29.58263772903359,33.45611609180666,16.038739852702765,19.58855451957129,-0.25054149036468515,0.24993467837616062,0.36228710630176286,-1.1012790442602411,-0.4776247327305212,0.4128792803755675,-466.6229864178637
ECA,4,30,11.832184259516776,10.683365558003564,43.78821841086473,30.34226113047519,15.976078980519848,17.279461906680336,0.23789221610487105,-0.23830010530980483,0.915964893953804,-0.5713003532139613,0.3468838606813491,-0.5368070878560076,-46.30620999387994
ECA,4,50,12.212351626926989,10.77483667693464,39.99709810915949,32.36486306031034,17.124440319399906,17.3608152430991,0.25048570004438564,-0.2509153972774748,0.7925347122571107,-0.6851696989687319,0.36066061039513797,-0.5164431114550961,-73.5307543828975
ECA,4,100,12.185609166456583,10.957842802077302,40.561873276843585,31.199435910055776,18.50075267955437,16.896715271799568,0.24858017692603102,-0.24898213765199606,0.7770176077857412,-0.7197866499010701,0.40291238879899877,-0.4958728983890579,-151.70161586545458
ECA,4,150,12.273936850039501,11.028906637564422,39.850404377936165,32.62235877480855,19.33760422734036,17.05531021272628,0.24919961177351513,-0.24957656184982435,0.7482494151024155,-0.7743848032345415,0.4230797525514686,-0.47017475543967246,-230.09468578372605
ECA,4,200,12.041165544753257,10.685367851348738,39.491398547241985,32.0614033674403,19.402847893462464,16.189371765898645,0.23820338027505755,-0.23859999956543676,0.7355490826143969,-0.73114176556597,0.41506895754772416,-0.4528761878480837,-325.1166312049626
ECA,4,300,12.24241221680978,11.0334883764412,39.94004048067135,32.80590685950627,20.173297849278473,16.969720815251506,0.2497965254146352,-0.2502593826656896,0.7298180540323892,-0.7988488041299614,0.4347947073694532,-0.445275054203233,-480.32261381354306
PSO,1,30,16.616591440819352,16.616591440819352,44.55936685655581,45.91581138285683,18.287234774893175,22.823525225597493,-0.16166666666666663,0.16166666666666668,0.07631221310627145,-0.014497914173209754,-0.39657691224403846,0.5888108819849295,-37.29037379149503
PSO,1,50,16.676663668465313,16.676663668465313,51.812142961238564,51.295609570385075,17.724181365080018,25.177685791721395,-0.16766666666666663,0.16766666666666669,0.03999655009266021,0.0555301454112167,-0.3380274424327606,0.652692721756028,-63.57942212938524
PSO,1,100,16.465452046971286,16.465452046971286,56.82413167430338,55.70171314497348,18.407288723454993,26.602705731398892,-0.1466666666666666,0.14666666666666667,0.08633103034497168,0.007387743815693479,-0.3033789525463241,0.6810402973189266,-127.92637163461504
PSO,1,150,16.86548085423135,16.86548085423135,60.75978977026347,58.534289568039014,18.716060017390248,28.539665886747706,-0.18666666666666665,0.1866666666666667,0.15757260430220182,-0.10717049602231492,-0.26427298358485063,0.7431220836153046,-193.50285916456747
PSO,1,200,16.726559053725833,16.726559053725836,62.70386543124546,62.43332625896303,18.931758507468693,29.350569556947356,-0.17266666666666663,0.1726666666666667,0.06117324960295725,0.027311111270826423,-0.2555077805240924,0.7516178373267048,-257.1345832322829
PSO,1,300,16.875360078462847,16.875360078462847,66.86424605148751,64.28836609316879,19.099943887226992,30.932466795756966,-0.18766666666666665,0.1876666666666667,0.02040681561762522,0.09055391034125164,-0.191470922357175,0.7977276763392089,-387.7736955206029
PSO,2,30,15.811388300841896,15.811388300841896,53.257932724832706,53.74028097734045,13.25936032357086,13.438005491856856,0.01100000000000001,-0.01100000000000001,1.0094232864006316,-1.026297756171007,0.15467170281172815,0.14594671680597948,-47.04085318828187
PSO,2,50,15.811388300841896,15.811388300841896,54.88916725012937,53.84044378560923,14.311044666775208,14.24074033372896,0.009000000000000008,-0.009000000000000008,0.9890848810611759,-0.9780170308203391,0.18257400078243258,0.1667839880862234,-77.65470621003962
PSO,2,100,15.811388300841896,15.811388300841896,57.50718423401609,58.84666550650532,15.881252259738257,15.610832195954119,0.014000000000000012,-0.014000000000000012,1.0136640941028052,-1.0607809237275947,0.2414514980962177,0.21797171416651906,-153.18115257118848
PSO,2,150,15.811388300841896,15.811388300841896,59.273997195202355,57.93561751508705,16.462177692920573,16.33712993988253,0.0040000000000000036,-0.0040000000000000036,1.047516130340186,-0.950907252687414,0.26134423480639546,0.22744752277329294,-228.47566015746042
PSO,2,200,15.811388300841896,15.811388300841896,58.64392007426238,60.75551553782206,17.160730365711853,16.866418255489627,0.025000000000000022,-0.025000000000000022,1.0159693335239848,-1.0270509222051825,0.2966694431453708,0.2521184726397212,-304.2347660863153
PSO,2,300,15.811388300841896,15.811388300841896,59.53986822146958,60.093555011476,17.52688279771459,17.48890399193921,0.010000000000000009,-0.010000000000000009,0.9941892696118816,-0.9738508522075343,0.2940537475182905,0.28291597950654623,-454.9413111433747
PSO,3,30,17.649362594722792,17.649362594722792,49.22640040743559,65.64592662429003,17.92367624137397,22.624257410811758,-0.248,0.248,0.1513966776174157,-1.386110018184435,-0.3417492639416563,0.5565349974505651,-46.48892543493564
PSO,3,50,17.406895185529212,17.406895185529212,52.30217777001332,69.0742350381037,17.82728300528691,24.09243459535798,-0.23099999999999998,0.23099999999999998,0.17829271868337895,-1.379080553975705,-0.2885185348371867,0.5906363102521344,-76.59321306168349
PSO,3,100,17.76231966833161,17.76231966833161,59.70761357226916,71.57635225390665,18.233439797268353,26.715323269093,-0.256,0.256,0.15790052906772822,-1.2976588367101658,-0.22419788976865307,0.6483291041109471,-152.68118159080012
PSO,3,150,17.334935823359714,17.334935823359714,61.575392279775905,73.61487755845961,18.44188256935544,28.35532315923149,-0.22599999999999998,0.22599999999999998,0.13964246917518902,-1.2631451568399599,-0.18783419356222042,0.713632663629364,-228.25837157092718
PSO,3,200,17.649362594722792,17.649362594722792,64.72722679306212,76.95877661898096,17.891879251724998,29.335199392940314,-0.248,0.248,0.07261298770742879,-1.3540052947230004,-0.1259429376305672,0.7400073038865833,-305.02269302552185
PSO,3,300,17.95828499606797,17.95828499606797,66.44515608519866,77.76203662706754,18.71102767556322,30.617424009666145,-0.27,0.27,0.12555981675832223,-1.3466494328906875,-0.13845301688828315,0.7814161433812832,-458.4493177674397
PSO,4,30,18.0,18.0,61.92123385081834,48.13855956473204,22.639092943625258,17.677451958196244,0.273,-0.273,1.2505378982978579,-0.20982496694897224,0.5612242835764776,-0.3363392053101232,-46.11390835623726
PSO,4,50,17.219175357722563,17.219175357722563,67.95566847836784,51.79381280072893,23.681614459754343,17.5828452995044,0.21800000000000003,-0.21799999999999997,1.3547754540959378,-0.11132543351443558,0.5693970532466484,-0.2825612019000423,-76.04610648396567
PSO,4,100,17.902513789968157,17.902513789968157,71.43106386534458,60.320935835900784,26.365661916871552,18.718684821255152,0.266,-0.266,1.3470107399211506,-0.1262401999546594,0.6463939276592086,-0.24197132320611903,-152.31331227560634
PSO,4,150,17.74823934929885,17.74823934929885,75.40321992118147,61.53284157640856,28.305784836050986,19.215754709676247,0.255,-0.255,1.3806024371372176,-0.08696288850550249,0.7039879327468823,-0.22427664085080035,-228.52574659153763
PSO,4,200,17.804493814764857,17.804493814764857,78.21094872771135,64.15292382415294,29.398944715512577,18.525504845621068,0.259,-0.259,1.4070895474896765,-0.12327014806131853,0.7417125277050711,-0.15509119493876733,-305.57894564029243
PSO,4,300,17.705931209625774,17.705931209625774,78.10859897082595,67.15613553864014,30.709448609108055,19.24645032492329,0.252,-0.252,1.3484193153664694,-0.18047958750738946,0.7896335010082396,-0.13626767897615788,-457.66156135774116
SA,1,30,10.451327292358727,10.428929253598557,37.32195116307769,37.766397513436914,18.99415786866144,17.248920250688794,-0.15779143854613142,0.1734303650302536,0.01569066763119611,-0.01640925112445014,-0.5262712031907764,0.4586362582563774,-76.6895171811668
SA,1,50,10.906155383953893,10.953582431740982,40.15798874574186,39.607884730329395,18.05934698725943,18.88272742071563,-0.183041462442947,0.18279030652954903,-0.017830985732177906,-0.015439016612348469,-0.46922633797729385,0.5079954509984627,-132.40879161901177
SA,1,100,10.004693555674981,10.805602260745625,44.17523017249501,44.11317973340838,17.31858536353569,21.12425508154112,-0.14710035357151097,0.1799950572194164,0.005810586850322707,0.05032490230571846,-0.4254853438486229,0.5732937170049729,-255.40260985643695
SA,1,150,10.250769701238296,10.279875789434733,46.670723991072826,47.409447232635195,16.544501450933467,22.29831336810297,-0.1534470233248083,0.16206173266601648,0.016809123285815547,0.0021952820910075875,-0.37837372878336817,0.5985164067348296,-399.6823530340188
SA,1,200,10.25957033390746,10.583867912693892,49.029586813719845,49.41095385866543,16.29521724913096,24.152180912341944,-0.15484947693096107,0.17090732676719217,0.005784823672442992,-0.03337604932649414,-0.3446179543792721,0.6564080134607203,-523.7741826524809
SA,1,300,10.704893119812608,10.5621966277726,51.53708279687858,50.696379552018314,16.10038629221863,24.8622954564454,-0.17705062161694374,0.16525510096903168,-0.025206921624723155,-0.08618184456532185,-0.3113995616353772,0.6752859022873596,-809.5940974658167
SA,2,30,9.154762958035255,9.250546324562617,45.03642835675031,45.726754668225,8.284890143180215,8.2846420323206,0.006095305774008519,-0.0046681900090153605,1.003305224038463,-1.0382933706697661,-0.01838272090269455,0.003459917234228005,-94.75626075923586
SA,2,50,8.773854681060786,9.304637090175534,48.22625050416687,46.883110206768215,8.71827055208843,8.836053532182568,-0.007586281193672051,-0.0026144523126638286,1.0458382967962354,-0.9793211110199685,0.014067836082044372,0.025135281188988445,-150.06220478290595
SA,2,100,8.977267321201037,9.28988238900748,47.714502093576954,48.3701879186476,9.075250952836077,9.441613425845247,0.003173538688362232,-0.020784398702591855,0.9831657455540754,-1.0008774654021422,0.04001209080410434,0.05611889583064045,-298.9788499803073
SA,2,150,9.067121894917495,8.99239740353214,48.763599549750005,49.840186699880476,9.917600658761133,10.036059531369073,-0.00838061809442392,0.006693006544804203,0.9532671182134081,-1.0339319288323825,0.076146665571179,0.10785249615295567,-424.40821623001284
SA,2,200,9.200894809796452,9.376274289299303,50.53537260213863,50.33544357363768,9.942040087335371,10.065180507732183,-0.010243471306287777,0.004106732656438239,1.0060294275182242,-1.0200079526689902,0.0924633366131341,0.09131113238281063,-585.2617145693259
SA,2,300,9.065168559430253,9.358916377624254,51.36134469546467,50.90647530903979,10.435853842686425,10.23676277990441,0.01005555679280834,-0.022073089623180997,1.0445324830855984,-1.0027735720339683,0.09958057457166891,0.09087780639155574,-870.3913505931871
SA,3,30,12.035673252502917,12.317376846785521,37.40596378814212,59.214546117066256,18.502550265606306,15.546226806939803,-0.2540003930944724,0.25443775803409496,-0.028803727925862624,-1.4481556498383452,-0.5030769600485189,0.3852788882641362,-92.07574450885166
SA,3,50,12.4787825551161,12.009955373566385,39.97690679319062,61.680833457934156,17.79338202925888,16.764850576075126,-0.26555846867278093,0.25169583546320884,0.055853830601854344,-1.454307698096612,-0.46384834725432833,0.4260036439289871,-145.4889830718006
SA,3,100,12.316493489404799,12.096970637957986,45.798079955547706,68.16526032550235,17.248574575454747,20.00817961727636,-0.26420957780120763,0.24804193687598686,-0.0789415113080166,-1.5777158854828954,-0.4101133156004184,0.5195896380312419,-293.7019644953318
SA,3,150,12.216923046301142,12.178866413232397,47.800398413819224,67.45661794164596,16.124011161412884,20.313772977644,-0.2590812011265044,0.2528898727130827,0.026826838078587795,-1.5344625199219748,-0.3457429899408685,0.5150235878217206,-425.90544541937277
